:nemesis	:info	:start-partition	:one
1	:invoke	:generate	nil
1	:ok	:generate	220460
2	:invoke	:generate	nil
2	:ok	:generate	994187
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	7624
0	:invoke	:generate	nil
0	:ok	:generate	910813
0	:invoke	:generate	nil
0	:ok	:generate	834047
0	:invoke	:generate	nil
2	:ok	:generate	359358
0	:ok	:generate	89650
2	:invoke	:generate	nil
1	:ok	:generate	840623
2	:ok	:generate	794452
2	:invoke	:generate	nil
2	:ok	:generate	770737
0	:invoke	:generate	nil
0	:ok	:generate	642118
0	:invoke	:generate	nil
0	:ok	:generate	668881
1	:invoke	:generate	nil
1	:ok	:generate	560502
2	:invoke	:generate	nil
2	:ok	:generate	94396
0	:invoke	:generate	nil
0	:ok	:generate	609906
0	:invoke	:generate	nil
0	:ok	:generate	617074
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	377805
2	:ok	:generate	312689
0	:invoke	:generate	nil
0	:ok	:generate	297234
0	:invoke	:generate	nil
0	:ok	:generate	577774
1	:invoke	:generate	nil
2	:invoke	:generate	nil
2	:ok	:generate	292514
1	:ok	:generate	121142
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	858449
2	:invoke	:generate	nil
1	:ok	:generate	400878
0	:invoke	:generate	nil
2	:ok	:generate	896040
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	34306
1	:invoke	:generate	nil
1	:ok	:generate	741314
2	:ok	:generate	89108
0	:ok	:generate	571493
2	:invoke	:generate	nil
0	:invoke	:generate	nil
0	:ok	:generate	830649
2	:ok	:generate	178678
0	:invoke	:generate	nil
0	:ok	:generate	609926
1	:invoke	:generate	nil
1	:ok	:generate	954829
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	887656
0	:ok	:generate	341323
0	:invoke	:generate	nil
0	:ok	:generate	908766
1	:invoke	:generate	nil
1	:ok	:generate	952202
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:invoke	:generate	nil
:nemesis	:info	:start-partition	[:isolated {"n2" #{"n1" "n0"}, "n1" #{"n2"}, "n0" #{"n2"}}]
2	:ok	:generate	769885
2	:invoke	:generate	nil
0	:ok	:generate	381390
1	:ok	:generate	352517
0	:invoke	:generate	nil
2	:ok	:generate	959939
0	:ok	:generate	822674
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	721536
2	:invoke	:generate	nil
1	:ok	:generate	688415
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	33068
0	:ok	:generate	65535
1	:ok	:generate	337865
0	:invoke	:generate	nil
0	:ok	:generate	813421
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	750752
0	:ok	:generate	340428
1	:ok	:generate	706747
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:invoke	:generate	nil
2	:ok	:generate	701287
1	:ok	:generate	969079
1	:invoke	:generate	nil
2	:invoke	:generate	nil
2	:ok	:generate	518526
1	:ok	:generate	801289
0	:ok	:generate	886000
1	:invoke	:generate	nil
1	:ok	:generate	903860
2	:invoke	:generate	nil
2	:ok	:generate	281444
0	:invoke	:generate	nil
0	:ok	:generate	852994
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:invoke	:generate	nil
2	:ok	:generate	355814
1	:ok	:generate	314112
1	:invoke	:generate	nil
1	:ok	:generate	231605
1	:invoke	:generate	nil
0	:ok	:generate	640252
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	825065
1	:ok	:generate	90166
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	444076
1	:invoke	:generate	nil
2	:ok	:generate	794943
2	:invoke	:generate	nil
2	:ok	:generate	13172
1	:ok	:generate	71540
0	:ok	:generate	289531
0	:invoke	:generate	nil
0	:ok	:generate	286423
0	:invoke	:generate	nil
0	:ok	:generate	168734
1	:invoke	:generate	nil
1	:ok	:generate	443678
2	:invoke	:generate	nil
2	:ok	:generate	947826
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	321211
1	:ok	:generate	114156
1	:invoke	:generate	nil
1	:ok	:generate	380562
2	:invoke	:generate	nil
2	:ok	:generate	428327
0	:invoke	:generate	nil
0	:ok	:generate	619226
