:nemesis	:info	:start-partition	:majority
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:invoke	:generate	nil
0	:ok	:generate	807990
1	:ok	:generate	247812
2	:ok	:generate	794181
0	:invoke	:generate	nil
0	:ok	:generate	106897
1	:invoke	:generate	nil
1	:ok	:generate	560975
2	:invoke	:generate	nil
2	:ok	:generate	595274
0	:invoke	:generate	nil
0	:ok	:generate	849236
0	:invoke	:generate	nil
0	:ok	:generate	309390
1	:invoke	:generate	nil
1	:ok	:generate	278787
2	:invoke	:generate	nil
2	:ok	:generate	726246
0	:invoke	:generate	nil
0	:ok	:generate	968082
0	:invoke	:generate	nil
0	:ok	:generate	715474
1	:invoke	:generate	nil
:nemesis	:info	:start-partition	[:isolated {"n0" #{"n2" "n1"}, "n2" #{"n0"}, "n1" #{"n0"}}]
1	:ok	:generate	670418
2	:invoke	:generate	nil
2	:ok	:generate	980102
0	:invoke	:generate	nil
0	:ok	:generate	138258
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	951698
1	:ok	:generate	751001
2	:invoke	:generate	nil
2	:ok	:generate	852859
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:invoke	:generate	nil
2	:ok	:generate	177500
1	:ok	:generate	881068
0	:ok	:generate	937317
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	229408
0	:ok	:generate	479063
0	:invoke	:generate	nil
0	:ok	:generate	444016
1	:invoke	:generate	nil
1	:ok	:generate	483557
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	620029
1	:invoke	:generate	nil
2	:invoke	:generate	nil
2	:ok	:generate	283282
1	:ok	:generate	64697
0	:ok	:generate	40663
2	:invoke	:generate	nil
2	:ok	:generate	347423
0	:invoke	:generate	nil
0	:ok	:generate	353056
0	:invoke	:generate	nil
0	:ok	:generate	709569
1	:invoke	:generate	nil
1	:ok	:generate	303511
2	:invoke	:generate	nil
2	:ok	:generate	509862
0	:invoke	:generate	nil
0	:ok	:generate	273361
0	:invoke	:generate	nil
0	:ok	:generate	660557
1	:invoke	:generate	nil
1	:ok	:generate	519610
2	:invoke	:generate	nil
2	:ok	:generate	452882
0	:invoke	:generate	nil
0	:ok	:generate	952171
0	:invoke	:generate	nil
0	:ok	:generate	532756
1	:invoke	:generate	nil
1	:ok	:generate	453606
2	:invoke	:generate	nil
2	:ok	:generate	975369
0	:invoke	:generate	nil
0	:ok	:generate	679456
0	:invoke	:generate	nil
0	:ok	:generate	352041
1	:invoke	:generate	nil
1	:ok	:generate	639261
2	:invoke	:generate	nil
2	:ok	:generate	399965
0	:invoke	:generate	nil
0	:ok	:generate	705830
0	:invoke	:generate	nil
0	:ok	:generate	885029
1	:invoke	:generate	nil
1	:ok	:generate	337835
2	:invoke	:generate	nil
2	:ok	:generate	810262
0	:invoke	:generate	nil
0	:ok	:generate	73231
0	:invoke	:generate	nil
0	:ok	:generate	489598
1	:invoke	:generate	nil
1	:ok	:generate	135827
2	:invoke	:generate	nil
2	:ok	:generate	579488
0	:invoke	:generate	nil
0	:ok	:generate	368509
0	:invoke	:generate	nil
0	:ok	:generate	522085
1	:invoke	:generate	nil
1	:ok	:generate	549039
2	:invoke	:generate	nil
2	:ok	:generate	642591
0	:invoke	:generate	nil
0	:ok	:generate	991250
0	:invoke	:generate	nil
0	:ok	:generate	130396
1	:invoke	:generate	nil
1	:ok	:generate	136363
2	:invoke	:generate	nil
2	:ok	:generate	952779
0	:invoke	:generate	nil
0	:ok	:generate	482375
0	:invoke	:generate	nil
0	:ok	:generate	83239
1	:invoke	:generate	nil
1	:ok	:generate	193269
2	:invoke	:generate	nil
2	:ok	:generate	93478
0	:invoke	:generate	nil
0	:ok	:generate	734837
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	644970
1	:ok	:generate	365032
2	:invoke	:generate	nil
2	:ok	:generate	222683
0	:invoke	:generate	nil
0	:ok	:generate	983524
0	:invoke	:generate	nil
0	:ok	:generate	541425
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	92435
1	:ok	:generate	637897
0	:ok	:generate	381270
0	:invoke	:generate	nil
0	:ok	:generate	81688
1	:invoke	:generate	nil
1	:ok	:generate	627584
2	:invoke	:generate	nil
2	:ok	:generate	948546
0	:invoke	:generate	nil
0	:ok	:generate	945573
0	:invoke	:generate	nil
0	:ok	:generate	869442
1	:invoke	:generate	nil
1	:ok	:generate	720394
2	:invoke	:generate	nil
2	:ok	:generate	168980
0	:invoke	:generate	nil
0	:ok	:generate	622756
0	:invoke	:generate	nil
0	:ok	:generate	709075
1	:invoke	:generate	nil
1	:ok	:generate	995377
2	:invoke	:generate	nil
2	:ok	:generate	230062
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	271662
1	:ok	:generate	307125
1	:invoke	:generate	nil
1	:ok	:generate	291531
2	:invoke	:generate	nil
2	:ok	:generate	98639
0	:invoke	:generate	nil
0	:ok	:generate	86761
0	:invoke	:generate	nil
0	:ok	:generate	57818
1	:invoke	:generate	nil
1	:ok	:generate	596288
2	:invoke	:generate	nil
2	:ok	:generate	13221
0	:invoke	:generate	nil
0	:ok	:generate	287159
0	:invoke	:generate	nil
0	:ok	:generate	603081
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	389155
2	:ok	:generate	421131
0	:invoke	:generate	nil
0	:ok	:generate	242636
0	:invoke	:generate	nil
0	:ok	:generate	222619
1	:invoke	:generate	nil
1	:ok	:generate	411754
2	:invoke	:generate	nil
2	:ok	:generate	293208
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	875305
1	:ok	:generate	31414
1	:invoke	:generate	nil
1	:ok	:generate	519078
2	:invoke	:generate	nil
2	:ok	:generate	534094
0	:invoke	:generate	nil
